"","면접질문"
"82","관심있는 직무 분야는?"
"83","공장이 포항에 있는데 지방 근무 자신 있는지?"
"84","학교에서 재밌게 들었던 과목은?"
"85","포스코 전망에 대해 어떻게 보는가?"
"86","포스코 재무제표 어떤 것 같은지?"
"87","지원동기"
"88","상황질문"
"89","자신의 강점"
"90","자기소개서는 형식적인거고, 본인이 포스코케미칼에 들어오기위해 노력한 것은 어떠한 것이 있습니까?"
"91","봉사활동 실적(260시간)이 많은데 봉사를 하게된 결정적 계기는?"
"92","연고지가 없는 지역에서의 직장생활 어떻게 생각하시나요?"
"93","마지막으로 하고싶은 말이 있나요?"
"94","왜 탈산제를 알루미늄으로 만드는가?"
"95","가장 잘 아는 원소 1가지에 대해 설명해보라"
"96","고로와 전기로의 차이점은?"
"97","자신에게 가장 맞는 색깔은?"
"98","가장 존경하는 인물은?"
"99","이전 경력사항에 대한 질문"
"100","보유 기술"
"101","이직 사유"
"102","사무직과 현장직의 차이"
"103","전기직무면접 RLC는 각각 무엇을 의미하는가?"
"104","봉사활동을 많이한 이유"
"105","교내외 수상이 많은 이유"
"106","포스코를 지원하게 된 이유"
"107","본인이 CEO라면 회사의 이윤을 어디에다 활용한 것인가?"
"108","포스코 매출액"
"109","IOT란?"
"110","존경하는 인물 가족 선생님 제외 포스고 관련 제외"
"111","다른 사람은 자격증 있는데 왜 자격증이 없어요?"
"112","회사랑 관련없는 제작 대회나 참가했는데 이게 무슨 도움이 되죠?"
"113","인터넷 댓글로 안 좋은 댓글 달아서 사람들 자살하고 그러잖아요? 인터넷 실명제와 익명제에 대해 찬반을 말하고 그 이유를 말하세요."
"114","학력 및 경력사항에 관한 질문"
"115","지원분야 업무에 대한 이해도"
"116","입사 후 포부"
"117","영어를 잘하는가?"
"118","화약에 대해 논해보시오"
"119","플랜트 시장에서 한국이 살아남으려면?"
"120","Why did you apply to this job?"
"121","왜 우리회사를 선탹하였는가?"
"122","지원한 업무가 무슨일인지 설명하시오."
"123","이직 사유"
"124","VCB와 ACB 차이점을 아는가"
"125","직장 생활에 있어 중요하다고 생각하는것은?"
"126","근무지가 지방인데 와서 적응할 수 있는지"
"127","상사가 부당한 지시를 하면 어떻게 할 것인가?"
"128","JIS 시스템에 대해 들어본 적이 있는지"
"129","팀원간의 갈등이나 불화를 겪었던 경험 여부와 해결 방법"
"130","만약 최종합격된다면 먼저 연락할사람은 누구인가"
"131","지원한 직무에대해서 얼마만큼 알고 있는지"
"132","경력에 관련하여 상세질문"
"133","해당직무에대해 알고있는지?"
"134","입사 후 어떻게 업무를 처리해 나갈것인지"
"135","일하면서 힘들고 짜증났을때 어떻게 대처하였는지"
"136","본인의 성격이 내향적인지 외향적인지"
"137","본인은 인내심있는 성격이라고 생각하는가? 예시를 들어보세요."
"138","자기소개해주세요."
"139","이전 회사퇴사 사유"
"140","석사 학위 이후 계획"
"141","사회생활 중 어려웠던 경험"
"142","자신의 성격은?"
"143","경력 사항은?"
"144","구직기간 동안 무엇을 했는지?"
"145","1분자기소개해보세요"
"146","자소서 경력질문"
"147","힘들엇던 경험 극복사례"
"148","본인의 커리어 골은 무엇이며 어떤 역할을 기대하고 있습니까?"
"149","본인이 생각하는 SK이노베이션의 비즈니스 측면에서의 SWOT 분석은?"
"150","비즈니스 상황을 제시하며 이러한 경우 본인이 제시할 수 있는 솔루션은?"
"151","1분 자기소개서"
"152","지원동기"
"153","지원기간 근무 및 환경"
"154","박사과정은 생각안해봤는지?"
"155","왜 우리회사에 오고싶은가?"
"156","자소서 기반의 날카로운 질문들"
"157","쉬는 날 어떻게 시간을 보내는가?"
"158","나보다 나이가 어린 사람이 선임일 경우 어떨거 같은지?"
"159","자신의 강점"
"160","조경분야에서 경험한 것은 무엇인가?"
"161","현장에서 동료들과 어떻게 함께 일을 할 것인가?"
"162","혹서 또는 혹한에도 야외에서 일할 수 있는가?"
"163","전 직장에서 제일 인상깊었던 일"
"164","패션 트렌드를 어떻게 알아가고있는지"
"165","지원동기"
"166","현재 회사도 좋은데 lg화학을 지원한 이유는?"
"167","자기소개 1분"
"168","자기 소개에서 말한 경력사항을 자세히 말해보세요"
"169","경력이 짧은데 왜 당신을 뽑아야하는지 이유를 말해보세요"
"170","오는 거리"
"171","단기로 할수 있는지"
"172","스캔업무 경험 있는지"
"173","자신의 미래의 종착지와 LG화학을 연관시켜 애기해보세요"
"174","자기 자신을 한가지 단어로 표현하고 이유를 말해보세요"
"175","자격증을 왜 많이 땄는지"
"176","자신이 딴 자격증은 LG화학에게 어떤 도움이 되는지"
"177","자신이 집과 먼 곳에서 근무하게 된다면 직무에 지장이 가지는 않는지"
"178","경력을 토대로한 자기소개"
"179","LG화학에서의 업무 계획"
"180","지원 동기"
"181","보유 기술 질문"
"182","해당 경험 질문"
"183","대처능력"
"184","지원동기"
"185","팀원과 협력한 경험"
"186","실패했던 경험"
"187","인천지역이 어떻게 재생되면 좋을지, 본인의 역량이 어떻게 도움이 될지"
"188","지원한 지역의 현재 도시재생 현황은?"
"189","인턴십이 끝나도 계속해서 이 분야에서 일을 할 것인가"
"190","생산에서 가장 중요한 것은?"
"191","우리공장 제품은 뭐가 있나?"
"192","나이어린 선배도 있을 수 있는데 어떤 마음가짐으로 일을 하겠는가?"
"193","집이 어딘지, 어디서 왔는지(집 가까운 사람을 선호하는 분위기)"
"194","우리 부서가 어떤 연구를 하는지 알고 있는지"
"195","석사 때 했던 실험이 우리 직무와 비슷한데 모든 과정을 다 할 줄 아는지"
"196","석사 때 논문들이 대부분 어떤 내용인지"
"197","그 외 다뤘던 실험에 대한 자세한 꼬리질문들"
"198","감압변과 안전밸브차이."
"199","psm 운영 시 어려웠던점은?"
"200","예전 회사와 식품 회사는 다른데 어떻게 관리할 생각인지"
"201","식품영업이 무엇이라고 생각하는가?"
"202","다른 회사에도 지원했는가?"
"203","타인과 의견 충돌 시 어떻게 대처하는 스타일인가?"
"204","경력사항 1분 소개"
"205","자신의 성격"
"206","평소 인간관계"
"207","본인은 CJ제일제당에서 어떠한 인재가 될 수 있는가?"
"208","식품 관련 일을 하기 위해 노력한 것은?"
"209","지원 공장에 지원한 이유?"
"210","CJ제일제당에 지원한 이유?"
"211","가공식품이 건강에 미치는 영향?"
"212","선배가 직무 수행에서 불법을 저질렀습니다. 어떻게 대처하시겠어요?"
"213","본인은 열심히 살아왔다고 생각하세요?"
"214","가장 기억에 남는 것이 무엇인가요?"
"215","공압과 유압에 대해서 면접관에게 설명해주세요"
"216","회사를 지원한 계기"
"217","회사에서 힘든 일이 있을때 해결은 어떻게 하겠느냐"
"218","석사 때 연구주제에 관한 질문"
"219","석사 때 연구했던 것을 회사에서 어떻게 써먹을 수 있을지"
"220","본인의 연구 주제에 대한 기여도"
"221","LG디스플레이만이 가지고 있는 제품은?"
"222","W-OLED에 대한 설명?"
"223","LG를 지원하게 된 이유?"
"224","회사에대해 아는게 무엇이 있나요"
"225","입사하여 하고싶은 업무는"
"226","왜 지원했나요"
"227","지원동기"
"228","본인의 직무관련 장점"
"229","본인의 성격의 단점"
"230","부모님과의 관계"
"231","상사와 트러블시 태도"
"232","회계학적 지식"
"233","언어능력테스트"
"234","회사에서 이루고 싶은 목적"
"235","인생에서의 목적"
"236","전공공부를 한 이유"
"237","자기소개 및 지원동기"
"238","회사에 대해 아는지"
"239","경영쪽 직무가 잘 맞는지"
"240","기존에 어떠한 직무를 하였는지"
"241","본인이 이 직무를 선택한 이유"
"242","본인이 선발 되어야 하는 이유"
"243","경력이 어떻게 되나"
"244","특허에 대해서 잘 아나?"
"245","우리가 본인과에 맞지 않는 부분도 있는데 왜 지원했나?"
"246","가장 재미있었던 대학 강의는?"
"247","뉴딜정책에서의 kt의 구체적 역할은?"
"248","ip 클라스 설명해보라"
"249","자기소개를 해보세요"
"250","본인 전공을 지원 직무에 응용할 방안에 대해 생각해본 것이 있나"
"251","자소서에 oo내용을 지원 동기라고 적었는데, 좀 더 상세하게 설명해줄 수 있나"
"252","도피성 지원이 보이는데 본인이 왜 해당 직무가 맞는지 면접관을 설득해 보세요."
"253","거주지와 달라도 상관이 없나요?"
"254","희망 연봉은 어떻게 되나요?"
"255","타 회사에 있었는데 왜 여기로 이직 지원을 했나요?"
"256","강사로서 하고 싶은 일은?"
"257","통신업무에 대해 얼마나 알고 있는가?"
"258","어떤 강의를 하고 싶은가?"
"259","특허 관련해서 알고 있는 것"
"260","우리 회사가 하는 일은"
"261","입사후 어떻게 할 것인가"
"262","자기소개 30초 이내로 간단하게"
"263","2금융권과 1금융권의 차이점? 본인이 느낀 2금융권의 장단점?"
"264","(롤플레잉면접)근무중 취준생이 내방해 계속 질문을 한다면 어떻게 대처할 것인지?"
"265","뭐하다가 왔나"
"266","유통쪽 경험이 있나"
"267","우리 회사중 방문한 곳과 느낀점"
"268","자기소개"
"269","이마트와 이마트 트레이더스에 차이점"
"270","다른 유통업에 경험이 있다면 왜 이마트로 지원을 하였는지"
"271","대체적으로 다른 곳에서 일해보았는데 유통이나 영업부분이라면 그것에대하여 질문한다."
"272","원하는 곳에 배치 되어지지 않았을 때 어떻게 할 것인가"
"273","어렸을 때 부터 지금까지 이룬 것."
"274","이마트가 다른 대형마트보다 앞서 나갈 수 있었던 이유"
"275","앞으로 이마트에 방향"
"276","요새 대형마트들이 다 무너지고 있는 실정에서 어떻게 극복할 것인가"
"277","이번 채용전 이마트에브리데이를 방문한 경험이 있는가?"
"278","육체적으로 힘들수 있다. 잘버틸수있는가?"
"279","자기소개서 항목중 1~2개 항목 질문"
"280","간략한 자기소개"
"281","지원하는 업종에서 우리 회사가 다른 회사와의 차별점은?"
"282","업무에서 가장 중요하다고 생각되는 요소는 무엇인가"
"283","자기소개, 직무내용, 지원동기"
"284","스트레스 해소 방법"
"285","마지막으로 하고 싶은 말"
"286","경력사항에 대한 상세한 질문과 퇴사사유"
"287","스트레스 관리"
"288","어떤업무인지 알고 지원했는가"
"289","삼성화재 텔러가 어떤 업무 하는지 아는가?"
"290","우리 회사를 지원하게 된 이유"
"291","전에 다니던 회사는 어떤회사인가?"
"292","보험이 왜 필요하다고 생각하는가?"
"293","행복은 무엇이라고 생각하는가?"
"294","스트레스 해소법은?"
"295","회사에 지원한 이유"
"296","전 회사 퇴사 사유들 질문"
"297","야근이 발생해도 괜찮은가"
"298","다른 회사 어디 썼나"
"299","회사를 선택한 이유"
"300","산업에 대한 이해"
"301","나의 가치관은?"
"302","전 직장 퇴사시 퇴사이유?"
"303","회사 지원동기는?"
"304","현대제철을 모르는 사람에게 현대제철을 소개한다면?"
"305","지원동기는?"
"306","일을 잘하는 것과 열심히 하는 것 중 더 중요한 것은?"
"307","가장 많이 사용하는 엑셀 함수는?"
"308","경력과 다른 직무일 경우, 경력과 다른 직무인데 지원하게 된 이유는?"
"309","지원자분을 뽑아야되는 이유는?"
"310","자기소개 필수"
"311","일이 힘들때 어떻게 대처하는지"
"312","출퇴근 관련 질문"
"313","어떤일을 해왔는가 ?"
"314","우리회사장점은?"
"315","우리회사의 신제품이 뭐있는가?"
"316","자기소개"
"317","경력직무 상세질문"
"318","마지막 한마디"
"319","자기소개"
"320","지원동기"
"321","직무경험"
"322","은행에 지원하게 된 계기?"
"323","기업은행 지점에 방문해본 경험?"
"324","이력서 기반 경험면접"
"325","일의 가치는 무엇이라 생각하는가?"
"326","본인의 전공외에 플랜트 다른 분야에 대해서 아는 지식이 있는가?"
"327","철손에 대해서 설명하시오."
"328","어디사느냐"
"329","경험있느냐"
"330","나이"
"331","이직하려는 사유는?"
"332","지금까지의 경력에 대해 간단하게 소개 후 현재 맡고 있는 업무 설명."
"333","현재 하고 있는 업무 외에 다른 업무 수행도 가능한가?"
"334","회사에 대해 얼마나 아는지"
"335","정산업무에 대해 얼마나 아는지"
"336","본인의 강점은"
"337","실 업무내용 물어봄"
"338","복지"
"339","복지"
"340","경력 마지막근무지"
"341","Erp사용기능여부"
"342","엑셀 사용여부"
"343","회사에 지원하게된 이유"
"344","하게될 일이 생각보다 단조로울수 있는데 괜찮은지"
"345","영어는 잘 하는지"
"346","성적관리는 어떻게 했는지?"
"347","여러명의 선배들이 동시에 일 시키는데 다 급하다 하면 누구꺼 먼저 처리할건지?"
"348","신입사원으로서 선배들과 친해지기위해 어떻게 행동할건지?"
"349","나이가 너무 어린데, 근무 잘 하실수 있으세요?"
"350","어디에 사세요?"
"351","회사경력있으신가요?"
"352","사는지역?"
"353","가족?"
"354","성격은?"
"355","회사에 지원하게된 동기"
"356","자기자신에 대한 평가"
"357","자기가 이회사에 필요하다생각하는 이유는"
"358","성격의 장단점"
"359","회사의 홈페이지중 가장 기억에 남는 것"
"360","개개인의 활동 내용"
"361","특이한 경력사항이 있는데 왜 자사에 지원했는지"
"362","일이 힘든데 괜찮은지"
"363","회사를 선택한 이유"
"364","Ex) 경력사항에 대한 상세한 질문"
"365","Ex) 엑셀 사용 능력"
"366","Ex) 근무 가능 기간"
"367","자기소개해보세요"
"368","영어로 이야기해보세요"
"369","어떤 일을 하고싶어요"
"370","회사를 선택한 이유?"
"371","스트레스 해소법?"
"372","기업의 사회적 역할이 무엇?"
"373","결혼유무"
"374","왜 나를 불렀을까? 하고 역으로 물어봄"
"375","만족하는 연봉"
"376","무슨일을 했는가?"
"377","연봉은 얼마를 받았었는가?"
"378","도전정신이 있는가?"
"379","경력사항"
"380","강점"
"381","평균급여"
"382","지원동기"
"383","최근 즐거웠던 일"
"384","자신을 한문장으로 표현하는 좌우명"
"385","어디사냐?"
"386","교대근무 가능하냐?"
"387","기숙사필요하냐??"
"388","어학점수 이외에 해외경험 있나?"
"389","해외에서 불편했던 점은?"
"390","근무지에 적응할 수 있겠나?"
"391","입사지원 동기"
"392","전직에서의 업무"
"393","3조 2교대 근무 가능여부"
"394","재직 가능 기간"
"395","향후계획"
"396","자기 소개"
"397","지원 동기"
"398","이전 직장의 주 업무"
"399","본인이 맡게 될 직무에 대하여 어느 정도의 이해도가 있는가?"
"400","입사 후 어떠한 기여를 할 수 있는지"
"401","고객님이 원하는 상품이 결품이 되었을때 어떻게 대처를 할것인가?"
"402","여러가지 유통회사가 있는데 왜 GS인가?"
"403","지금 까지 일을 해오면서 성공 실패 사례"
"404","교대근무를 해봤는지 어떻게 생각하는지"
"405","회사의 장단점 그리고 선택한 이유"
"406","자기소개1분과 마지막 한마디"
"407","교대근무 할 수 있는가?"
"408","체력관리 어떻게 하는가?"
"409","친구랑 만나면 무엇을 하며 노는가?"
"410","살면서 가장 기뻣던점"
"411","살면서 가장 힘들었던점"
"412","힘들었을때 극복과정"
"413","이전 직장에서 방진복을 착용하고 근무했나?"
"414","성적이 좋은데 학업을 마치고 더 좋은 곳으로 가지 않고 여기 온 이유?"
"415","면접자보다 어린 친구들이 선배인데 적응이 가능하겠나?"
"416","갈등상황에서 어떻게 해결했는지, 어떻게 리더십을 발휘했는지 경험"
"417","본인에 대한 주위의 평가"
"418","가장 인상적이였던 박람회부스(박람회 갔었다는 대답에대한 질문)"
"419","학업 이외에 열정적으로 임했던 경험"
"420","이 직무에 지원한 이유"
"421","회사나 직무 관련 사회경험이 있는지"
"422","백회점에서 일해 본 적 있나요?"
"423","우리 회사를 선택한 이유는?"
"424","lg브랜드 화장품 중에 얼마나 아나요?"
"425","본인의 좌우명은?"
"426","어느 위치까지 올라가고 싶은가?"
"427","회사 지원동기"
"428","이전 회사에서 퇴사한 사유"
"429","통근 하는데 문제는 없는지?"
"430","출근시간이 이른데 괜찮은지?"
"431","좋은 서비스를 하기 위한 승무원으로써의 자질은?"
"432","우리 회사의 단점과 개선방법"
"433","자신이 뽑혀야 한다고 생각하는것 한문장으로?"
"434","경력에 대한 질문들"
"435","어떤 비전을 가지고 있는지"
"436","대한항공에 대한 생각들"
"437","남들보다 이것만큼은 자신있다 하는것"
"438","살면서 힘들었던 경험"
"439","자기소개"
"440","서비스란 무엇인가?"
"441","해당 직종을 위해 노력한 것은 무엇인가?"
"442","기내 상황 롤플레이"
"443","대한항공에 관심을 가지게 된 계기는?"
"444","입사 후 하고 싶은 일"
"445","입사를 하기 위해 노력한 점"
"446","자신의 강점"
"447","이전 직장에서 무슨일을 했는지"
"448","승무원이 되고싶은 이유"
"449","우리 회사에 대해서 얼마나 아는지?"
"450","테라타워가 무슨 브랜드인지 아는지?"
"451","맡은 직무가 하는 일이 뭔지 아는지?"
"452","이전 회사에서는 어떤 업종의 회사이며, 어떤 일을 하였급니까?"
"453","당신의 인간관계는 어떻다고 생각하십니까?"
"454","해야 할 일과 하고 싶은 일 중 어떤 것을 선택하겠습니까?"
"455","지원한 업무에 대해 얼마나 알고있는지 질문"
"456","현대 소속이지만 파견 업무라 힘들다는것을 강조하며 할수있는지 질문"
"457","그전에 다녔던 회사에 대해 어떤일을 하고 어떤회사인지에 대한 질문"
"458","전기시공 관리 에서 발주처 대응에 대한 질문"
"459","인지도 면 에서 좋다"
"460","연봉이 높다"
"461","TWA 값에 대해 알고있는 물질 이야기해보세요"
"462","현대엔지니어링에 대해 알고 있는 것을 말해주세요"
"463","이전회사의 퇴사사유는?"
"464","대기업을 그만둔 이유"
"465","자신만이 가지고 있는 핵심역량"
"466","회사 입사 후 포부"
"467","2년제 비서과와 4년제 비서과의 차이점"
"468","비서자격증이 무엇인지 설명해라"
"469","회사에 대해 알고 있나"
"470","프로젝트 진행 시 담당했던 역할과 개발한 기능은?"
"471","프로젝트 진행하면서 발생했던 문제점은?"
"472","취업 외에 관심있는 것이 있다면?"
"473","직무설명"
"474","최근 했던 직무 설명"
"475","직무 경험시 문제였던 점"
"476","현재 회사도 좋은데 lg화학을 지원한 이유는?"
"477","자기소개 1분"
"478","자기 소개에서 말한 경력사항을 자세히 말해보세요"
"479","경력이 짧은데 왜 당신을 뽑아야하는지 이유를 말해보세요"
"480","오는 거리"
"481","단기로 할수 있는지"
"482","스캔업무 경험 있는지"
"483","백회점에서 일해 본 적 있나요?"
"484","우리 회사를 선택한 이유는?"
"485","lg브랜드 화장품 중에 얼마나 아나요?"
"486","특이한 경력사항이 있는데 왜 자사에 지원했는지"
"487","일이 힘든데 괜찮은지"
"488","회사를 선택한 이유"
"489","Ex) 경력사항에 대한 상세한 질문"
"490","Ex) 엑셀 사용 능력"
"491","Ex) 근무 가능 기간"
"492","자신의 미래의 종착지와 LG화학을 연관시켜 애기해보세요"
"493","자기 자신을 한가지 단어로 표현하고 이유를 말해보세요"
"494","자격증을 왜 많이 땄는지"
"495","자신이 딴 자격증은 LG화학에게 어떤 도움이 되는지"
"496","자신이 집과 먼 곳에서 근무하게 된다면 직무에 지장이 가지는 않는지"
"497","경력을 토대로한 자기소개"
"498","LG화학에서의 업무 계획"
"499","지원 동기"
"500","경력 사항에 대한 상세한 질문"
"501","이직 사유"
"502","근무지(평택, 서산)에 대한 본인의 견해"
"503","성격장단점"
"504","자기소개1분"
"505","뜬금없는질문1개"
"506","경력 사항에 대한 질문 (다니던 회사에서 어떤 업무)"
"507","영문 이메일 작성 가능 여부"
"508","평소 업무 처리 스타일 (빠르게/정확하지만 천천히/선배들과 상의하여 등)"
"509","자바 개발 경력이 있나요?"
"510","현대상선이 어떤 회사 인지 아나요?"
"511","오라클 실력이 어떻게 되나요?"
"512","본인이 가지고 있는 경력을 현대상선에서 어떻게 성과를 낼 수 있나요?"
"513","자금 조달 업무 관련하여 유사 혹은 동일 업무를 경험한 적이 있는가?"
"514","계약직으로 근무한 회사에서 이직한 사유는 무엇인가?"
"515","현재 회사 업무 중에서 가장 벅찼던 업무는 어떤것인지?"
"516","주량, 학창시절 성적 관련 개인 질문"
"517","경력 사항에 대한 상세질문"
"518","회사 제품에 대한 설명과 제품을 어떤 방식으로 설계 할 수 있는가"
"519","방금 한 질문에 대한 대답을 영어로 해 주세요."
"520","취미와 가족사항, 가족들은 뭐하는지? 주말에 뭐하고 지내는지"
"521","자기소개를 해보세요"
"522","본인 전공을 지원 직무에 응용할 방안에 대해 생각해본 것이 있나"
"523","자소서에 oo내용을 지원 동기라고 적었는데, 좀 더 상세하게 설명해줄 수 있나"
"524","경력사항"
"525","지원을하게된이유"
"526","입사후포부"
"527","1분자기소개"
"528","취미,특기"
"529","자신의 장단점"
"530","15년 후 자신의 모습"
"531","자신의 별명은?"
"532","마지막으로 할 말"
"533","회사에 대해 알고 있는가?"
"534","취미생활 중 (책) 어떤 걸 하였는가?"
"535","쉬는 기간동안 뭐했는지"
"536","본인에 대해서 경력위주로 소개해보시오."
"537","소비자 입장으로서 스타필드의 장단점은?"
"538","전회사와 신세계프라퍼티의 차이점은?"
"539","지원하게 된 이유"
"540","평소 우리 브랜드에 대한 관심이 있는지"
"541","우리 회사의 경쟁사는?"
"542","근무조건"
"543","품질관리선택이유"
"544","없습니다"
"545","회사 외식 브랜드에서 일을 하거나 소비자가 된 적이 있나"
"546","이 일과 비슷한 직무를 경험해 본 적 있나"
"547","자신만의 장점을 얘기할 수 있나"
"548","베이커리의 일을 하지 않았던 이유는?"
"549","베이커리에서 일하는 선배들의 조언?"
"550","자신의 비전에 대하 말해라"
"551","해당라인에 품질관리자라면 어떻게운영할지?"
"552","할랄 해보았는지어떤점이 어려운지?"
"553","haacp의 맹점?"
"554","1분자기소개 및 퇴사이유?"
"555","생산관리 직무를 수행함에 있어 개선내용"
"556","재직했었던 회사의 생산환경과 프로레스, 도급운영방식"
"557","왜 굳이 동일업종으로 지원했는지?"
"558","자기소개"
"559","직무관련 알고있는 내용 질문"
"560","장단점"
"561","실패했던 경험"
"562","자기소개"
"563","우리 회사의 강점은?"
"564","이전 직장 퇴사 사유"
"565","경력 사항에 대한 질문"
"566","자기소개"
"567","우리 회사의 강점은?"
"568","경력 사항에 대한 질문"
"569","이전 직장 퇴사 사유"
"570","궁금한 점 있는지..."
"571","EBG를 통해서 이룬 성과"
"572","여러 업무를 경험가능"
"573","옷을 좋아해서"
"574","지원하게된 계기"
"575","다른브랜드와 다른점은"
"576","클레임이 들어왔을때 대처방법"
"577","제출한 포토폴리오 작업시간 얼마나 걸렸나요?"
"578","이정도 작업물은 시간이 얼마나 걸리나요?"
"579","하고싶은 말은?"
"580","지원하게 된 이유"
"581","평소 우리 브랜드에 대한 관심이 있는지"
"582","우리 회사의 경쟁사는?"
"583","팀워크에서 중요한것은?"
"584","회사에 대해 아는점은?"
"585","어떤 업무를 맡고싶은지?"
"586","업무 경력"
"587","지원동기"
"588","근무시간과 인간관계"
"589","기존하던 업무와 다른 업무로 지원한 이유?"
"590","기존 퇴사사유를 보니 워라밸을 중시하는거 같은데?"
"591","업무관련 갈등이 발생했을때 어떻게 해결할지?"
"592","관련경력 및 프로젝트에 대해 문의"
"593","현재 카카오의 캐릭터/콘텐츠와 콜라보레이션하면 어울릴 브랜드"
"594","본인보다 나이가 적은 동료나 상사와 일해본적 있는지(불펴한점이 없을지)"
"595","자기소개서"
"596","어느 부서로 가고싶은가"
"597","반복되는 업무 괜찮은가"
"598","전 직장에서는 왜 그만두었나"
"599","전 직장에서 어떤일을 했었나"
"600","유럽은 얼마동안 다녀온건가"
"601","자신의 장점 어필"
"602","이전 업무와 괴리감이 느껴지면 어떻게 극복하겠습니까"
"603","하이마트에 대해 말해보시오"
"604","이직이유"
"605","우리 회사에 지원한 이유는?"
"606","취미생활이 뭔가요?"
"607","알바경력 있어요?"
"608","동종업계 경력"
"609","회사에 방문해 본적이 있는지"
"610","마지막 할말"
"611","스트레스 해소법"
"612","아르바이트 경험 유무"
"613","회사에 지원하게 된 이유"
"614","하이마트 매장에 개선되어야 할 점"
"615","자신의 인생에서 목표를 이루었던 점"
"616","경력 사항에 대한 자세한 질문"
"617","전공에 관련된 질문"
"618","회사에 궁금한 점"
"619","마곡 집값비싼데 괜찮겠느냐??"
"620","실제로 그 제품은 얼마나 사용되는가?"
"621","기타 제 경력발표중 궁금한것 질문"
"622","경력에 관한 사항"
"623","한국주택 금융공사에 대한 이미지"
"624","회사 지원 동기"
"625","성형외과를 근무했다고 되어있던데 강성 컴플레인의 구체적 예시와 답변을 어떻게 했었는지 말씀해주세요."
"626","BMW에 지원하게된 입사 동기를 이야기해보세요."
