"","questions"
"79","타 기업에서 인턴 경험이 있는데 우리 회사를 지원한 이유는 무엇인가?"
"80","가장 기뻤을 때가 언제 인가?"
"81","본인을 뽑아야 하는 이유는 무엇인가?"
"82","살면서 가장 잘한 선택과 잘못한 선택은 무엇인가?"
"83","아이티 산업과 타산업간의 컨버젼스의 예로 무엇이 있는가?"
"84","오픽 점수는 어느 정도인가?"
"85","왜 CNS가 좋은가?"
"86","요즘 아이티 업계의 화두는 무엇인가?"
"87","유럽배낭여행은 어디를 갔다왔는가?"
"88","자기소개 해보세요"
"89","전공을 택한 이유를 말해보세요"
"90","토익 공부 방법을 말해보세요"
"91","하고 싶은 직무는 무엇인가?"
"92","학교 친구들은 어떤 기업을 선호 하는가?"
"93","한자자격증을 딴 이유를 말해보세요"
"94","회화 실력은 어느정도 인가?"
"95","1분 자기소개해보세요"
"96","다른 사람이 본인을 어떻게 생각하는가?"
"97","대회에 나가 본 적 있는가?"
"98","리더쉽을 발휘한 경험이 있는가?"
"99","마지막으로 하고 싶은 말을 해보세요"
"100","본인의 성격을 말해보세요"
"101","야간근무가 많은데 괜찮은가?"
"102","여자친구가 있는가? 무슨 점이 좋아서 만나는가? 여자친구는 본인의 어떤 점을 좋아하는가?"
"103","인생에서 가장 큰 실패를 한 적을 말해보세요"
"104","자기소개 해보세요"
"105","지방에 살아서 자취하는가?"
"106","지원동기는 무엇인가?"
"107","최근에 어려웠던 경험이 있는가? 어려울 때 마다 어떻게 극복했는가?"
"108","통계프로그램을 잘 다루는가?"
"109","해외유학경험이 없는데 어떻게 생각하는가?"
"110","BI는 무엇인가?"
"111","CNS에 대해 어느 정도 아는가?"
"112","U-city란 무엇인지 영어로 설명해보세요"
"113","U-city에 가장 필요하다고 생각되는 기술은 무엇이라 생각하는가?"
"114","가장 기뻤을때가 언제인가"
"115","살면서 가장 잘한 선택과 잘못한 선택은?"
"116","아이티 산업과 타산업간의 컨버젼스의 예를 말해보라"
"117","왜 우리 회사가 좋은가?"
"118","요즘 IT업계 화두에 대해 말해보라"
"119","지원자를 꼭 뽑아야 하는 이유는 무엇인가?"
"120","LG CNS의 강점과 약점은?"
